topic,title,subject
machine learning,Machine Learning: When and Where the Horses Went Astray?,"Machine Learning is usually defined as a subfield of AI, which is busy with information extraction from raw data sets. Despite of its common acceptance and widespread recognition, this definition is wrong and groundless. Meaningful information does not belong to the data that bear it. It belongs to the observers of the data and it is a shared agreement and a convention among them. Therefore, this private information cannot be extracted from the data by any means. Therefore, all further attempts of Machine Learning apologists to justify their funny business are inappropriate."
machine learning,mlpy: Machine Learning Python,"mlpy is a Python Open Source Machine Learning library built on top of NumPy/SciPy and the GNU Scientific Libraries. mlpy provides a wide range of state-of-the-art machine learning methods for supervised and unsupervised problems and it is aimed at finding a reasonable compromise among modularity, maintainability, reproducibility, usability and efficiency. mlpy is multiplatform, it works with Python 2 and 3 and it is distributed under GPL3 at the website http://mlpy.fbk.eu."
machine learning,EnsembleSVM: A Library for Ensemble Learning Using Support Vector   Machines,EnsembleSVM is a free software package containing efficient routines to perform ensemble learning with support vector machine (SVM) base models. It currently offers ensemble methods based on binary SVM models. Our implementation avoids duplicate storage and evaluation of support vectors which are shared between constituent models. Experimental results show that using ensemble approaches can drastically reduce training complexity while maintaining high predictive accuracy. The EnsembleSVM software package is freely available online at http://esat.kuleuven.be/stadius/ensemblesvm.
machine learning,Machine Learning that Matters,"Much of current machine learning (ML) research has lost its connection to problems of import to the larger world of science and society. From this perspective, there exist glaring limitations in the data sets we investigate, the metrics we employ for evaluation, and the degree to which results are communicated back to their originating domains. What changes are needed to how we conduct research to increase the impact that ML has? We present six Impact Challenges to explicitly focus the field?s energy and attention, and we discuss existing obstacles that must be addressed. We aim to inspire ongoing discussion and focus on ML that matters."
machine learning,Considerations upon the Machine Learning Technologies,"Artificial intelligence offers superior techniques and methods by which problems from diverse domains may find an optimal solution. The Machine Learning technologies refer to the domain of artificial intelligence aiming to develop the techniques allowing the computers to ""learn"". Some systems based on Machine Learning technologies tend to eliminate the necessity of the human intelligence while the others adopt a man-machine collaborative approach."
machine learning,Pylearn2: a machine learning research library,"Pylearn2 is a machine learning research library. This does not just mean that it is a collection of machine learning algorithms that share a common API; it means that it has been designed for flexibility and extensibility in order to facilitate research projects that involve new or unusual use cases. In this paper we give a brief history of the library, an overview of its basic philosophy, a summary of the library's architecture, and a description of how the Pylearn2 community functions socially."
electron,Impact of Electron-Electron Cusp on Configuration Interaction Energies,"The effect of the electron-electron cusp on the convergence of configuration interaction (CI) wave functions is examined. By analogy with the pseudopotential approach for electron-ion interactions, an effective electron-electron interaction is developed which closely reproduces the scattering of the Coulomb interaction but is smooth and finite at zero electron-electron separation. The exact many-electron wave function for this smooth effective interaction has no cusp at zero electron-electron separation. We perform CI and quantum Monte Carlo calculations for He and Be atoms, both with the Coulomb electron-electron interaction and with the smooth effective electron-electron interaction. We find that convergence of the CI expansion of the wave function for the smooth electron-electron interaction is not significantly improved compared with that for the divergent Coulomb interaction for energy differences on the order of 1 mHartree. This shows that, contrary to popular belief, description of the electron-electron cusp is not a limiting factor, to within chemical accuracy, for CI calculations."
electron,Electron thermal conductivity owing to collisions between degenerate   electrons,We calculate the thermal conductivity of electrons produced by electron-electron Coulomb scattering in a strongly degenerate electron gas taking into account the Landau damping of transverse plasmons. The Landau damping strongly reduces this conductivity in the domain of ultrarelativistic electrons at temperatures below the electron plasma temperature. In the inner crust of a neutron star at temperatures T < 1e7 K this thermal conductivity completely dominates over the electron conductivity due to electron-ion (electron-phonon) scattering and becomes competitive with the the electron conductivity due to scattering of electrons by impurity ions.
electron,Electron pairing: from metastable electron pair to bipolaron,"Starting from the shell structure in atoms and the significant correlation within electron pairs, we distinguish the exchange-correlation effects between two electrons of opposite spins occupying the same orbital from the average correlation among many electrons in a crystal. In the periodic potential of the crystal with lattice constant larger than the effective Bohr radius of the valence electrons, these correlated electron pairs can form a metastable energy band above the corresponding single-electron band separated by an energy gap. In order to determine if these metastable electron pairs can be stabilized, we calculate the many-electron exchange-correlation renormalization and the polaron correction to the two-band system with single electrons and electron pairs. We find that the electron-phonon interaction is essential to counterbalance the Coulomb repulsion and to stabilize the electron pairs. The interplay of the electron-electron and electron-phonon interactions, manifested in the exchange-correlation energies, polaron effects, and screening, is responsible for the formation of electron pairs (bipolarons) that are located on the Fermi surface of the single-electron band."
electron,Hamiltonian of a many-electron system with single-electron and   electron-pair states in a two-dimensional periodic potential,"Based on the metastable electron-pair energy band in a two-dimensional (2D) periodic potential obtained previously by Hai and Castelano [J. Phys.: Condens. Matter 26, 115502 (2014)], we present in this work a Hamiltonian of many electrons consisting of single electrons and electron pairs in the 2D system. The electron-pair states are metastable of energies higher than those of the single-electron states at low electron density. We assume two different scenarios for the single-electron band. When it is considered as the lowest conduction band of a crystal, we compare the obtained Hamiltonian with the phenomenological model Hamiltonian of a boson-fermion mixture proposed by Friedberg and Lee [Phys. Rev. B 40, 6745 (1989)]. Single-electron-electron-pair and electron-pair-electron-pair interaction terms appear in our Hamiltonian and the interaction potentials can be determined from the electron-electron Coulomb interactions. When we consider the single-electron band as the highest valence band of a crystal, we show that holes in this valence band are important for stabilization of the electron-pair states in the system."
electron,Electron-Electron Bremsstrahlung Emission and the Inference of Electron   Flux Spectra in Solar Flares,"Although both electron-ion and electron-electron bremsstrahlung contribute to the hard X-ray emission from solar flares, the latter is normally ignored. Such an omission is not justified at electron (and photon) energies above $\sim 300$ keV, and inclusion of the additional electron-electron bremsstrahlung in general makes the electron spectrum required to produce a given hard X-ray spectrum steeper at high energies.   Unlike electron-ion bremsstrahlung, electron-electron bremsstrahlung cannot produce photons of all energies up to the maximum electron energy involved. The maximum possible photon energy depends on the angle between the direction of the emitting electron and the emitted photon, and this suggests a diagnostic for an upper cutoff energy and/or for the degree of beaming of the accelerated electrons.   We analyze the large event of January 17, 2005 observed by RHESSI and show that the upward break around 400 keV in the observed hard X-ray spectrum is naturally accounted for by the inclusion of electron-electron bremsstrahlung. Indeed, the mean source electron spectrum recovered through a regularized inversion of the hard X-ray spectrum, using a cross-section that includes both electron-ion and electron-electron terms, has a relatively constant spectral index $\delta$ over the range from electron kinetic energy $E = 200$ keV to $E = 1$ MeV. However, the level of detail discernible in the recovered electron spectrum is not sufficient to determine whether or not any upper cutoff energy exists."
electron,Improved scenario of baryogenesis,"It is assumed that, in the primordial plasma, at the temperatures above the mass of electron, fermions are in the neutral state being the superposition of particle and antiparticle. There exists neutral proton-electron symmetry. Proton-electron equilibrium is defined by the proton-electron mass difference. At the temperature equal to the mass of electron, pairs of neutral electrons annihilate into photons, and pairs of neutral protons and electrons survive as protons and electrons."
electron,Exact Electron-Pairing Ground States of Tight-Binding Models with Local   Attractive Interactions,"We present a class of exactly solvable models of correlated electrons. The models are defined in any dimension $d$ and consist of electron-hopping terms and local attractive interactions between electrons. For each even number of electrons less than or equal to $1/(d+1)$-filling, we find the exact ground state in which all electrons form pairs of a certain type, and thus the models exhibit an electron-pair condensation."
electron,Electron-electron interactions in a weakly screened two-dimensional   electron system,"We probe the strength of electron-electron interactions using magnetoconductivity measurements of two-dimensional non-degenerate electrons on liquid helium at 1.22 K. Our data extend to electron densities that are two orders of magnitude smaller than previously reported. We span both the independent-electron regime where the data are qualitatively described by the self-consistent Born approximation (SCBA), and the strongly-interacting electron regime. At finite fields we observe a crossover from SCBA to Drude theory as a function of electron density."
electron,Free-electron properties of metals under ultrafast laser-induced   electron-phonon nonequilibrium: A first-principles study,"The electronic behavior of various solid metals (Al, Ni, Cu, Au, Ti, and W) under ultrashort laser irradiation is investigated by means of density functional theory. Successive stages of extreme nonequilibrium on picosecond time scale impact the excited material properties in terms of optical coupling and transport characteristics. As these are generally modelled based on the free-electron classical theory, the free-electron number is a key parameter. However, this parameter remains unclearly defined and dependencies on the electronic temperature are not considered. Here, from first-principles calculations, density of states are obtained with respect to electronic temperatures varying from 10^-2 to 10^5 K within a cold lattice. Based on the concept of localized or delocalized electronic states, temperature dependent free-electron numbers are evaluated for a series of metals covering a large range of electronic configurations. With the increase of the electronic temperature we observe strong adjustments of the electronic structures of transition metals. These are related to variations of electronic occupation in localized d bands, via change in electronic screening and electron-ion effective potential. The electronic temperature dependence of nonequilibrium density of states has consequences on electronic chemical potentials, free-electron numbers, electronic heat capacities, and electronic pressures. Thus electronic thermodynamic properties are computed and discussed, serving as a base to derive energetic and transport properties allowing the description of excitation and relaxation phenomena caused by rapid laser action."
electron,First-principles calculations of hot-electron lifetimes in metals,"First-principles calculations of the inelastic lifetime of low-energy electrons in Al, Mg, Be, and Cu are reported. Quasiparticle damping rates are evaluated from the knowledge of the electron self-energy, which we compute within the GW approximation of many-body theory. Inelastic lifetimes are then obtained along various directions of the electron wave vector, with full inclusion of the band structure of the solid. Average lifetimes are also reported, as a function of the electron energy. In Al and Mg, splitting of the band structure over the Fermi level yields electron lifetimes that are smaller than those of electrons in a free-electron gas. Larger lifetimes are found in Be, as a result of the characteristic dip that this material presents in the density of states near the Fermi level. In Cu, a major contribution from $d$ electrons participating in the screening of electron-electron interactions yields electron lifetimes which are well above those of electrons in a free-electron gas with the electron density equal to that of valence ($4s^1$) electrons."
electron,D'yakonov-Perel' spin relaxation for degenerate electrons in the   electron-hole liquid,"We present an analytical study of the D'yakonov-Perel' spin relaxation time for degenerate electrons in a photo-excited electron-hole liquid in intrinsic semiconductors exhibiting a spin-split band structure. The D'yakonov-Perel' spin relaxation of electrons in these materials is controlled by electron-hole scattering, with small corrections from electron-electron scattering and virtually none from electron-impurity scattering. We derive simple expressions (one-dimensional and two-dimensional integrals respectively) for the effective electron-hole and electron-electron scattering rates which enter the spin relaxation time calculation. The electron-hole scattering rate is found to be comparable to the scattering rates from impurities in the electron liquid - a common model for n-type doped semiconductors. As the density of electron-hole pairs decreases (within the degenerate regime), a strong enhancement of the scattering rates and a corresponding slowing down of spin relaxation is predicted due to exchange and correlation effects in the electron-hole liquid. In the opposite limit of high density, the original D'yakonov-Perel' model fails due to decreasing scattering rates and is eventually superseded by free precession of individual quasiparticle spins."
electron,First-principles calculations of heat capacities of ultrafast   laser-excited electrons in metals,"Ultrafast laser excitation can induce fast increases of the electronic subsystem temperature. The subsequent electronic evolutions in terms of band structure and energy distribution can determine the change of several thermodynamic properties, including one essential for energy deposition; the electronic heat capacity. Using density functional calculations performed at finite electronic temperatures, the electronic heat capacities dependent on electronic temperatures are obtained for a series of metals, including free electron like, transition and noble metals. The effect of exchange and correlation functionals and the presence of semicore electrons on electronic heat capacities are first evaluated and found to be negligible in most cases. Then, we tested the validity of the free electron approaches, varying the number of free electrons per atom. This shows that only simple metals can be correctly fitted with these approaches. For transition metals, the presence of localized d electrons produces a strong deviation toward high energies of the electronic heat capacities, implying that more energy is needed to thermally excite them, compared to free sp electrons. This is attributed to collective excitation effects strengthened by a change of the electronic screening at high temperature."
electron,"Born-Oppenheimer Dynamics, Electronic Friction, and the Inclusion of   Electron-Electron Interactions","We present a universal expression for the electronic friction as felt by a set of classical nuclear degrees of freedom (DoF's) coupled to a manifold of quantum electronic DoF's; no assumptions are made regarding the nature of the electronic Hamiltonian and electron-electron repulsions are allowed. Our derivation is based on a quantum-classical Liouville equation (QCLE) for the coupled electronic-nuclear motion, followed by an adiabatic approximation whereby electronic transitions are assumed to equilibrate faster than nuclear movement. The resulting form of friction is completely general, but does reduce to previously published expressions for the quadratic Hamiltonian (i.e. Hamiltonians without electronic correlation). At equilibrium, the second fluctuation-dissipation theorem is satisfied and the frictional matrix is symmetric. To demonstrate the importance of electron-electron correlation, we study electronic friction within the Anderson-Holstein model, where a proper treatment of electron-electron interactions shows signatures of a Kondo resonance and a mean-field treatment is completely inadequate."
electron,Electronic Properties Of Buckminsterfullerenes: Degeneracies and   Surprises,"Buckminsterfullerene compounds exibit remarkable physics at low temperatures, e.g. high temperature superconductivity in alkali-fullerenes, and ferromagnetism in TDAE -C60. Here we review recent theoretical studies of electron correlations in these compounds. In particular, we discuss models of electron-vibron interactions, electron-electron interactions, and intermolecular hopping. We show that the origin of novel electronic phases lies in {\em local} degeneracies of C60; a direct consequence of the high molecular symmetry."
electron,Energy relaxation in the spin-polarized disordered electron liquid,"The energy relaxation in the spin-polarized disordered electron systems is studied in the diffusive regime. We derived the quantum kinetic equation in which the kernel of electron-electron collision integral explicitly depends on the electron magnetization. As the consequence, the inelastic scattering rate is found to have non-monotonic dependence on the spin polarization of the electron system."
electron,Shear viscosity of degenerate electron matter,We calculate the partial electron shear viscosity $\eta_{ee}$ limited by electron-electron collisions in a strongly degenerate electron gas taking into account the Landau damping of transverse plasmons. The Landau damping strongly suppresses $\eta_{ee}$ in the domain of ultrarelativistic degenerate electrons and modifies its %asymptotic temperature behavior. The efficiency of the electron shear viscosity in the cores of white dwarfs and envelopes of neutron stars is analyzed.
electron,Plasmon-assisted electron-electron collisions at metallic surfaces,"We present a theoretical treatment for the ejection of a secondary electron from a clean metallic surface induced by the impact of a fast primary electron. Assuming a direct scattering between the incident, primary electron and the electron in a metal, we calculate the electron-pair energy distributions at the surfaces of Al and Be. Different models for the screening of the electron-electron interaction are examined and the footprints of the surface and the bulk plasmon modes are determined and analyzed. The formulated theoretical approach is compared with the available experimental data on the electron-pair emission from Al."
electron,Resonant electron-phonon-electron interaction,"The effect of the resonance of electron scattering energy difference and phonon energy on the electron-phonon-electron interaction (EPEI) is studied. Results show that the resonance of electron transition energy and phonon energy can enhance EPEI by a magnitude of 1 to 2. Moreover, the anisotropic S-wave electron or dx2-y2 electron can enhance resonance EPEI, and the self-energy correction of the electron will weaken resonance EPEI. Particularly, the asymmetrical spin-flip scattering process in k space can reduce the effect of electronic self-energy to enhance resonance EPEI"
electron,Electron-Phonon Scattering in Semiconductor Structures with   One-Dimensional Electron Gas,In this study a method for calculation of the electron-phonon scattering rate in semiconductor structures with one-dimensional electron gas is developed. The energy uncertainty of electrons is taken into account.
electron,On Unconventional Electron Pairing In a Periodic Potential,On the assumption that two electrons with the same group velocity effectively attract each other a simple model Hamiltonian is proposed to question the existence of unconventional electron pairs formed by electrons in a strong periodic potential.
electron,Spin polarization of electrons in quantum wires,The total energy of a quasi-one-dimensional electron system is calculated using density functional theory. It is shown that spontaneous ferromagnetic state in quantum wire occurs at low one-dimensional electron density. The critical electron density below which electrons are in spin-polarized state is estimated analytically.
electron,Electron Dynamics at a Positive Ion,"The dynamics of electrons in the presence of a positive ion is considered for conditions of weak electron-electron couping but strong electron-ion coupling. The equilibrium electron density and electric field time correlation functions are evaluated for semi-classical conditions using a classical statistical mechanics with a regularized electron-ion interaction for MD simulation. The theoretical analysis for the equilibrium state is obtained from the corresponding nonlinear Vlasov equation. Time correlation functions for the electrons are determined from the linearized Vlasov equation. The resulting electron dynamics is described in terms of a distribution of single electron-ion trajectories screened by an inhomogeneous electron gas dielectric function. The results are applied to calculation of the autocorrelation function for the electron electric field at the ion for $ 0\leq Z\leq 40$, including conditions of strong electron-ion coupling. The electron stopping power and self-diffusion coefficient are determined from these results, and all properties calculated are compared with those obtained from semi-classical molecular dynamics simulation. The agreement with semi-classical MD simulation is found to be reasonable. The theoretical description provides an instructive interpretation for the strong electron-ion results."
electron,Experimental Determination of Electron Transition Probabilities in   Elementary Electron-Phonon Scattering Processes Using Electron-Energy-Loss   Spectroscopy: The Example of Graphite,"We have investigated coupling constants in elementary electron-phonon scattering processes on a graphite surface by the combined use of high-resolution electron-energy-loss spectroscopy (HREELS) and very low-energy electron diffraction (VLEED). HREELS is used to measure the modulations of electron transition probabilities from incoming electrons in vacuum to outgoing electrons in vacuum where the transition includes one-phonon scattering processes inside a solid. Determining the electronic band structures of graphite with VLEED, we defined electronic states of the solid surface that electrons entered before and after scattering off phonons. Thus, we observed that the measured electron transition probabilities significantly depended on whether the electrons were in a bulk Bloch state or an evanescent state before scattering off the phonons. This result clearly indicates that the measured electron transition probabilities reflect the strength of the coupling constants in the solid."
electron,Electrons surfing on a sound wave as a platform for quantum optics with   flying electrons,"Electrons in a metal are indistinguishable particles that strongly interact with other electrons and their environment. Isolating and detecting a single flying electron after propagation to perform quantum optics like experiments at the single electron level is therefore a challenging task. Up to date, only few experiments have been performed in a high mobility two-dimensional electron gas where the electron propagates almost ballistically. Flying electrons were detected via the current generated by an ensemble of electrons and electron correlations were encrypted in the current noise. Here we demonstrate the experimental realisation of high efficiency single electron source and single electron detector for a quantum medium where a single electron is propagating isolated from the other electrons through a one-dimensional channel. The moving potential is excited by a surface acoustic wave, which carries the single electron along the 1D-channel at a speed of 3\mum/ns. When such a quantum channel is placed between two quantum dots, a single electron can be transported from one quantum dot to the other, which is several micrometres apart, with a quantum efficiency of emission and detection of 96% and 92%, respectively. Furthermore, the transfer of the electron can be triggered on a timescale shorter than the coherence time T2* of GaAs spin qubits6. Our work opens new avenues to study the teleportation of a single electron spin and the distant interaction between spatially separated qubits in a condensed matter system."
electron,Electron--Electron Scattering in Quantum Wires and it's Possible   Suppression due to Spin Effects,"A microscopic picture of electron-electron pair scattering in single mode quantum wires is introduced which includes electron spin. A new source of `excess' noise for hot carriers is presented. We show that zero magnetic field `spin' splitting in quantum wires can lead to a dramatic `spin'-subband dependence of electron--electron scattering, including the possibility of strong suppression. As a consequence extremely long electron coherence lengths and new spin-related phenomena are predicted. Since electron bands in III-V semiconductor quantum wires are in general spin-split in zero applied magnetic field, these new transport effects are of general importance."
electron,Accounting for both electron--lattice and electron--electron coupling in   conjugated polymers: minimum total energy calculations on the   Hubbard--Peierls hamiltonian,"Minimum total energy calculations, which account for both electron--lattice and electron--electron interactions in conjugated polymers are performed for chains with up to eight carbon atoms. These calculations are motivated in part by recent experimental results on the spectroscopy of polyenes and conjugated polymers and shed light on the longstanding question of the relative importance of electron--lattice vs. electron--electron interactions in determining the properties of these systems."
electron,Periodic and Aperiodic Bunching in the Addition Spectra of Quantum Dot,"We study electron addition spectra of quantum dots in a broad range of electron occupancies starting from the first electron. Spectra for dots containing <200 electrons reveal a surprising feature. Electron additions are not evenly spaced in gate voltage. Rather, they group into bunches. With increasing electron number the bunching evolves from occurring randomly to periodically at about every fifth electron. The periodicity of the bunching and features in electron tunneling rates suggest that the bunching is associated with electron additions into spatially distinct regions within the dots."
electron,Nonlinear voltage dependence of the shot noise in mesoscopic degenerate   conductors with strong electron-electron scattering,"It is shown that measurements of zero-frequency shot-noise can provide information on electron-electron interaction, because the strong interaction results in the nonlinear voltage dependence of the shot noise in metallic wires. This is due to the fact that the Wiedemann-Franz law is no longer valid in the case of considerable electron-electron interaction. The deviations from this law increase the noise power and make it dependent strongly on the ratio of electron-electron and electron-impurity scattering rates."
electron,Polaron and bipolaron formation in the Hubbard-Holstein model: role of   next-nearest neighbor electron hopping,"The influence of next-nearest neighbor electron hopping, $t^{\prime}$, on the polaron and bipolaron formation in a square Hubbard-Holstein model is investigated within a variational approach. The results for electron-phonon and electron-electron correlation functions show that a negative value of $t^{\prime}$ induces a strong anisotropy in the lattice distortions favoring the formation of nearest neighbor intersite bipolaron. The role of $t^{\prime}$, electron-phonon and electron-electron interactions is briefly discussed in view of the formation of charged striped domains."
electron,Tunneling through an Aharonov-Bohm ring -- effects of dephasing by   electron-electron interactions,"We develop a non-perturbative numerical method to study a single electron tunneling through an Aharonov-Bohm ring in the presence of bound, interacting electrons. Inelastic processes and spin-flip scattering are properly taken into account. We show that electron-electron interactions described by the Hubbard Hamiltonian lead to strong dephasing and we obtain high transmission probability at Phi=pi even at small interaction strength. Depending on the many-electron state on the ring, dephasing can occur in elastic or inelastic channels with or without changing the spin of the scattering electron."
electron,Pairing in Cu-O Models: Clues of Joint Electron-Phonon and   Electron-Electron Interactions,"We discuss a many-electron Hamiltonian with Hubbard-like repulsive interaction and linear coupling to the phonon branches, having the Cu-O plane of the superconducting cuprates as a paradigm. A canonical transformation extracts an effective two-body problem from the many-body theory. As a prototype system we study the $\cu$ cluster, which yields electronic pairing in the Hubbard model; moreover, a standard treatment of the Jahn-Teller effect predicts distortions that destroy electronic pairing. Remarkably, calculations that keep all the electronic spectrum into account show that vibrations are likely to be synergic with electronic pairing, if the coupling to half-breathing modes predominates, as experiments suggest."
electron,Electron-electron scattering effects on the Full Counting Statistics of   Mesoscopic Conductors,"In the hot electron regime, electron-electron scattering strongly modifies not only the shot noise but also the full counting statistics. We employ a method based on a stochastic path integral to calculate the counting statistics of two systems in which noise in the hot electron regime has been experimentally measured. We give an analytical expression for the counting statistics of a chaotic cavity and find that heating due to electron-electron scattering renders the distribution of transmitted charge symmetric in the shot noise limit. We also discuss the frequency dispersion of the third order correlation function and present numerical calculations for the statistics of diffusive wires in the hot electron regime."
electron,Multi-Electron Production at High Transverse Momenta in ep Collisions at   HERA,"Multi-electron production is studied at high electron transverse momentum in positron- and electron-proton collisions using the H1 detector at HERA. The data correspond to an integrated luminosity of 115 pb-1. Di-electron and tri-electron event yields are measured. Cross sections are derived in a restricted phase space region dominated by photon-photon collisions. In general good agreement is found with the Standard Model predictions. However, for electron pair invariant masses above 100 GeV, three di-electron events and three tri-electron events are observed, compared to Standard Model expectations of 0.30 \pm 0.04 and 0.23 \pm 0.04, respectively."
electron,Temporary Acceleration of Electrons While Inside an Intense   Electromagnetic Pulse,"A free electron can temporarily gain a very significant amount of energy if it is overrun by an intense electromagnetic wave. In principle, this process would permit large enhancements in the center-of-mass energy of electron-electron, electron-positron and electron-photon interactions if these take place in the presence of an intense laser beam. Practical considerations severely limit the utility of this concept for contemporary lasers incident on relativistic electrons. A more accessible laboratory phenomenon is electron-positron production via an intense laser beam incident on a gas. Intense electromagnetic pulses of astrophysical origin can lead to very energetic photons via bremsstrahlung of temporarily accelerated electrons."
electron,Kink structure in the electronic dispersion of high-Tc superconductors   from the electron-phonon interaction,"We investigate the electronic dispersion of high-Tc superconductor on the basis of the two-dimensional three-band Hubbard model with the electron-phonon interaction together with the strong electron-electron interaction. In our model, it is shown across the hole-doped region of high-Tc superconductor that the electron-phonon interaction makes a dispersion kink, observed along the nodal direction, and that the small isotope effect appears on the electronic dispersion."
electron,Electron and phonon correlations in systems of one-dimensional electrons   coupled to phonons,"Electron and phonon correlations in systems of one-dimensional electrons coupled to phonons are studied at low temperatures by emphasizing on the effect of electron-phonon backward scattering. It is found that the $2k_F$-wave components of the electron density and phonon displacement field share the same correlations. Both correlations are quasi-long-ranged for a single conducting chain coupled to one-dimensional or three-dimensional phonons, and they are long-ranged for repulsive electron-electron interactions for a three-dimensional array of parallel one-dimensional conducting chains coupled to three-dimensional phonons."
electron,Ballistic Hot Electron Transport in Graphene,"We theoretically study the inelastic scattering rate and the carrier mean free path for energetic hot electrons in graphene, including both electron-electron and electron-phonon interactions. Taking account of optical phonon emission and electron-electron scattering, we find that the inelastic scattering time $\tau \sim 10^{-2}-10^{-1} \mathrm{ps}$ and the mean free path $l \sim 10-10^2 \mathrm{nm}$ for electron densities $n = 10^{12}-10^{13} \mathrm{cm}^{-2}$. In particular, we find that the mean free path exhibits a finite jump at the phonon energy $200 \mathrm{meV}$ due to electron-phonon interaction. Our results are directly applicable to device structures where ballistic transport is relevant with inelastic scattering dominating over elastic scattering."
electron,Spin dynamics of electrons in the first excited subband of a   high-mobility low-density 2D electron system,"We report on time-resolved Kerr rotation measurements of spin coherence of electrons in the first excited subband of a high-mobility low-density two-dimensional electron system in a GaAs/Al0.35Ga0.65As heterostructure. While the transverse spin lifetime (T2*) of electrons decreases monotonically with increasing magnetic field, it has a non-monotonic dependence on the temperature, with a peak value of 596 ps at 36 K, indicating the effect of inter-subband electron-electron scattering on the electron spin relaxation. The spin lifetime may be long enough for potential device application with electrons in excited subbands."
electron,Quantum description and properties of electrons emitted from pulsed   nanotip electron sources,We present a quantum calculation of the electron degeneracy for electron sources. We explore quantum interference of electrons in the temporal and spatial domain and demonstrate how it can be utilized to characterize a pulsed electron source. We estimate effects of Coulomb repulsion on two-electron interference and show that currently available nano tip pulsed electron sources operate in the regime where the quantum nature of electrons can be made dominant.
electron,Metastable electron-pair states in a two-dimensional crystal,"We study possible quantum states of two correlated electrons in a two-dimensional crystal and find a metastable energy band of the electron pair between the two lowest single-electron bands. These metastable states result from the interplay of electron correlations and the strength of the crystal potential. The two paired electrons are bound in the same unit cell in relative coordinates with an average distance between them about one third of the crystal period. Furthermore, we show how such electron-pairs can be stabilized in a many-electron system."
electron,Investigation of Vortex Structures in Gas-Discharge Nonneutral Electron   Plasma: III. Pulse Ejection of Electrons at the Formation and Radial   Oscillations of Vortex Structure,The results of experimental investigations of electron ejection from gas-discharge nonneutral electron plasma at the formation and radial oscillations of vortex structure have been presented. The electrons are injected from the vortex structure and the adjacent region of electron sheath in the form of pulses the duration and periodicity of which are determined by the processes of evolution and dynamics of this structure. The possible mechanisms of pulse ejection of electrons are considered. The influence of electron ejection on other processes in discharge electron sheath is analyzed.
electron,Quasiparticle Mass Enhancement and Fermi Surface Shape Modification in   Oxide Two-Dimensional Electron Gases,"We propose a model intended to qualitatively capture the electron-electron interaction physics of two-dimensional electron gases formed near transition-metal oxide heterojunctions containing $t_{2g}$ electrons with a density much smaller than one electron per metal atom. Two-dimensional electron systems of this type can be described perturbatively using a $GW$ approximation which predicts that Coulomb interactions enhance quasiparticle effective masses more strongly than in simple two-dimensional electron gases, and that they reshape the Fermi surface, reducing its anisotropy."
electron,Some Aspects of Electron Dynamics in Electron Cyclotron Resonance Ion   Sources,"Electron dynamics in Electron Cyclotron Resonance Ion Source is numerically simulated by using Particle-In-Cell code combined with simulations of the ion dynamics. Mean electron energies are found to be around 70 keV close to values that are derived from spectra of X-ray emission out of the source. Electron life time is defined by losses of low-energy electrons created in ionizing collisions; the losses are regulated by electron heating rate, which depends on magnitude of the microwave electric field. Changes in ion confinement with variations in the microwave electric field and gas flow are simulated. Influence of electron dynamics on the afterglow and two-frequency heating effects is discussed."
electron,Wigner distributions for an electron,"We study the Wigner distributions for a physical electron, which reveal the multidimensional images of the electron. The physical electron is considered as a composite system of a bare electron and photon. The Wigner distributions for unpolarized, longitudinally polarized and transversely polarized electron are presented in transverse momentum plane as well as in impact parameter plane. The spin-spin correlations between the bare electron and the physical electron are discussed. We also evaluate all the leading twist generalized transverse momentum distributions (GTMDs) for electron."
electron,Electron localization properties in high pressure hydrogen at the   liquid-liquid phase transition by Coupled Electron-Ion Monte Carlo,"We analyze in detail the electronic properties of high pressure hydrogen around the liquid-liquid phase transition based on Coupled Electron-Ion Monte Carlo calculations. Computing the off-diagonal single particle density matrix and the momentum distribution we discuss localization properties of the electrons. The abrupt changes of these distributions indicate a metal to insulator transition occurring together with the structural transition from the atomic to molecular fluid. We further discuss the electron-proton and electron-electron pair correlation functions, which also change abruptly at the transition."
electron,"Electron Multi-Beams (Electron Grids, Electron Lattices and Electron   Grates): New Elements for Accelerators","Since the initial proposal in 1990s, the method of electron lenses has been successfully developed and employed at the high energy particle colliders, like Tevatron and RHIC. Here we propose a new set of electron multi beam elements (electron grids, electron lattices, electron grates and other) which employ many beams in various spatial configurations, with possible time varying currents. We present major principles of operation and generation of such systems and briefly discuss a set of possible applications in accelerators."
electron,Effects of Electron-Electron Scattering on Electron-Beam Propagation in   a Two-Dimensional Electron-Gas,"We have studied experimentally and theoretically the influence of electron-electron collisions on the propagation of electron beams in a two-dimensional electron gas for excess injection energies ranging from zero up to the Fermi energy. We find that the detector signal consists of quasiballistic electrons, which either have not undergone any electron-electron collisions or have only been scattered at small angles. Theoretically, the small-angle scattering exhibits distinct features that can be traced back to the reduced dimensionality of the electron system. A number of nonlinear effects, also related to the two-dimensional character of the system, are discussed. In the simplest situation, the heating of the electron gas by the high-energy part of the beam leads to a weakening of the signal of quasiballistic electrons and to the appearance of thermovoltage. This results in a nonmonotonic dependence of the detector signal on the intensity of the injected beam, as observed experimentally."
